DateTime,EventId,Rating,DeviceId,Lat,Lon
2015-08-13 06:15:07,1,10,1,42.3614,-71.0812
2015-08-13 06:16:07,1,10,1,42.3614,-71.0812
2015-08-13 06:17:07,1,10,1,42.3614,-71.0812
2015-08-13 06:18:07,1,10,1,42.3614,-71.0812
2015-08-13 06:19:07,1,9,1,42.3614,-71.0812
2015-08-13 06:20:07,1,10,1,42.3614,-71.0812
2015-08-13 06:21:07,1,10,1,42.3614,-71.0812
2015-08-13 06:22:07,1,10,1,42.3614,-71.0812
2015-08-13 06:23:07,1,9,1,42.3614,-71.0812
2015-08-13 06:24:07,1,8,1,42.3614,-71.0812
2015-08-13 06:25:07,1,7,1,42.3614,-71.0812
2015-08-13 06:26:07,1,7,1,42.3614,-71.0812
2015-08-13 06:27:07,1,6,1,42.3614,-71.0812
2015-08-13 06:28:07,1,7,1,42.3614,-71.0812
2015-08-13 06:29:07,1,7,1,42.3614,-71.0812
2015-08-13 06:30:07,1,6,1,42.3614,-71.0812
2015-08-13 06:31:07,1,6,1,42.3614,-71.0812
2015-08-13 06:32:07,1,6,1,42.3614,-71.0812
2015-08-13 06:33:07,1,6,1,42.3614,-71.0812
2015-08-13 06:34:07,1,6,1,42.3614,-71.0812
2015-08-13 06:35:07,1,6,1,42.3614,-71.0812
2015-08-13 06:36:07,1,6,1,42.3614,-71.0812
2015-08-13 06:37:07,1,6,1,42.3614,-71.0812
2015-08-13 06:38:07,1,6,1,42.3614,-71.0812
2015-08-13 06:39:07,1,5,1,42.3614,-71.0812
2015-08-13 06:40:07,1,5,1,42.3614,-71.0812
2015-08-13 06:41:07,1,5,1,42.3614,-71.0812
2015-08-13 06:42:07,1,4,1,42.3614,-71.0812
2015-08-13 06:43:07,1,3,1,42.3614,-71.0812
2015-08-13 06:44:07,1,3,1,42.3614,-71.0812
2015-08-13 06:45:07,1,3,1,42.3614,-71.0812
2015-08-13 06:46:07,1,3,1,42.3614,-71.0812
2015-08-13 06:47:07,1,3,1,42.3614,-71.0812
2015-08-13 06:48:07,1,4,1,42.3614,-71.0812
2015-08-13 06:49:07,1,4,1,42.3614,-71.0812
2015-08-13 06:50:07,1,4,1,42.3614,-71.0812
2015-08-13 06:51:07,1,3,1,42.3614,-71.0812
2015-08-13 06:52:07,1,3,1,42.3614,-71.0812
2015-08-13 06:53:07,1,4,1,42.3614,-71.0812
2015-08-13 06:54:07,1,3,1,42.3614,-71.0812
2015-08-13 06:55:07,1,3,1,42.3614,-71.0812
2015-08-13 06:56:07,1,3,1,42.3614,-71.0812
2015-08-13 06:57:07,1,2,1,42.3614,-71.0812
2015-08-13 06:58:07,1,2,1,42.3614,-71.0812
2015-08-13 06:59:07,1,3,1,42.3614,-71.0812
2015-08-13 07:00:07,1,4,1,42.3614,-71.0812
2015-08-13 07:01:07,1,5,1,42.3614,-71.0812
2015-08-13 07:02:07,1,4,1,42.3614,-71.0812
2015-08-13 07:03:07,1,4,1,42.3614,-71.0812
2015-08-13 07:04:07,1,4,1,42.3614,-71.0812
2015-08-13 07:05:07,1,3,1,42.3614,-71.0812
2015-08-13 07:06:07,1,3,1,42.3614,-71.0812
2015-08-13 07:07:07,1,3,1,42.3614,-71.0812
2015-08-13 07:08:07,1,4,1,42.3614,-71.0812
2015-08-13 07:09:07,1,3,1,42.3614,-71.0812
2015-08-13 07:10:07,1,2,1,42.3614,-71.0812
2015-08-13 07:11:07,1,1,1,42.3614,-71.0812
2015-08-13 07:12:07,1,1,1,42.3614,-71.0812
2015-08-13 07:13:07,1,1,1,42.3614,-71.0812
2015-08-13 07:14:07,1,1,1,42.3614,-71.0812
2015-08-13 07:15:07,1,1,1,42.3614,-71.0812
2015-08-13 07:16:07,1,1,1,42.3614,-71.0812
2015-08-13 07:17:07,1,1,1,42.3614,-71.0812
2015-08-13 07:18:07,1,1,1,42.3614,-71.0812
2015-08-13 07:19:07,1,1,1,42.3614,-71.0812
2015-08-13 07:20:07,1,1,1,42.3614,-71.0812
2015-08-13 07:21:07,1,1,1,42.3614,-71.0812
2015-08-13 07:22:07,1,1,1,42.3614,-71.0812
